,Name,Address,States,Latitude,Longitude,Type,Rating,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
1,Baci di Firenze Trattoria,"416 N Lakeview Ave, Anaheim, CA 92807-3029",CA,33.8536376,-117.8151608,Italian,5,520,,+1 714-282-2220,https://www.tripadvisor.com//Restaurant_Review-g29092-d1635031-Reviews-Baci_di_Firenze_Trattoria-Anaheim_California.html,Check The Website for a Menu,$$ - $$$
2,Sam's Italian Deli and Market,"2415 N 1st St, Fresno, CA 93703-1202",CA,36.7726,-119.7728,Italian,5,434,,+1 559-229-9346,https://www.tripadvisor.com//Restaurant_Review-g32414-d2395217-Reviews-Sam_s_Italian_Deli_and_Market-Fresno_California.html,https://cdn.shopify.com/s/files/1/0039/5103/4441/files/SamsSandwichmenu19.pdf?346,$$ - $$$
3,Ambrogio15,"926 Turquoise St, San Diego, CA 92109-1186",CA,32.8094844,-117.2570252,Italian,5,262,,+1 858-291-8650,https://www.tripadvisor.com//Restaurant_Review-g60750-d10260213-Reviews-Ambrogio15-San_Diego_California.html,https://www.ambrogio15.com/menu/,$$ - $$$
4,The Kitchen Restaurant,"2225 Hurley Way, Sacramento, CA 95825-3483",CA,38.5893152,-121.4141337,American,5,251,,+1 916-568-7171,https://www.tripadvisor.com//Restaurant_Review-g32999-d492400-Reviews-The_Kitchen_Restaurant-Sacramento_California.html,Check The Website for a Menu,$$$$
5,Mersea Restaurant,"699 Avenue of the Palms, San Francisco, CA 94130",CA,37.8224036,-122.3755396,American,5,235,,+1 415-851-8118,https://www.tripadvisor.com//Restaurant_Review-g60713-d13497261-Reviews-Mersea_Restaurant-San_Francisco_California.html,Check The Website for a Menu,$$ - $$$
6,Mediterranean Grill & Cafe,"1031 U St, Fresno, CA 93721-1419",CA,36.7420684,-119.7796339,Lebanese,5,216,,+1 559-441-7050,https://www.tripadvisor.com//Restaurant_Review-g32414-d1236081-Reviews-Mediterranean_Grill_Cafe-Fresno_California.html,Check The Website for a Menu,$$ - $$$
7,n/naka,"3455 Overland Ave, Los Angeles, CA 90034-5419",CA,34.025128,-118.4122067,Japanese,5,165,,+1 310-836-6252,https://www.tripadvisor.com//Restaurant_Review-g32655-d3701882-Reviews-N_naka-Los_Angeles_California.html,http://www.n-naka.com/menus,$$$$
8,HiroNori Craft Ramen,"2222 Michelson Dr, Irvine, CA 92612-1332",CA,33.6765454,-117.8558343,Japanese,5,45,,+1 949-536-5800,https://www.tripadvisor.com//Restaurant_Review-g32530-d12841414-Reviews-HiroNori_Craft_Ramen-Irvine_California.html,Check The Website for a Menu,$$ - $$$
9,Yen Du Restaurant,"702 Porter Ave, Stockton, CA 95207-4297",CA,38.0058864,-121.319651,Chinese,5,15,,+1 209-951-3748,https://www.tripadvisor.com//Restaurant_Review-g33130-d4652924-Reviews-Yen_Du_Restaurant-Stockton_California.html,http://www.yendurestaurant.com/menu,$$ - $$$
10,Fatamorgana Gelato - Ice cream,"12021 Ventura Blvd, Los Angeles, CA 91604-2609",CA,34.1439272,-118.3941887,Dessert,5,13,,+1 818-606-0273,https://www.tripadvisor.com//Restaurant_Review-g32655-d12980016-Reviews-Fatamorgana_Gelato_Ice_cream-Los_Angeles_California.html,Check The Website for a Menu,$$ - $$$
11,Henry's Ocean View Dining,"21100 Pacific Coast Highway, Huntington Beach, CA 92648",CA,33.6512938,-117.9938823,Steakhouse,5,7,,+1 714-845-8450,https://www.tripadvisor.com//Restaurant_Review-g32513-d17692094-Reviews-Henry_s_Ocean_View_Dining-Huntington_Beach_California.html,Check The Website for a Menu,$$ - $$$
12,Trio Restaurant,"707 N Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92262-5507",CA,33.8332069,-116.5471156,American,4.5,"3,785",,+1 760-864-8746,https://www.tripadvisor.com//Restaurant_Review-g32847-d1575363-Reviews-Trio_Restaurant-Palm_Springs_Greater_Palm_Springs_California.html,Check The Website for a Menu,$$ - $$$
13,Hollywood Cafe,"530 North Point St, San Francisco, CA 94133-1312",CA,37.8065024,-122.4158708,American,4.5,"3,775",,+1 415-563-3779,https://www.tripadvisor.com//Restaurant_Review-g60713-d1537869-Reviews-Hollywood_Cafe-San_Francisco_California.html,https://www.hollywoodcafesf.com/menu-1,$$ - $$$
14,Kokkari Estiatorio,"200 Jackson St, San Francisco, CA 94111-1806",CA,37.7970125,-122.3998073,Mediterranean,4.5,"2,698",,+1 415-981-0983,https://www.tripadvisor.com//Restaurant_Review-g60713-d353917-Reviews-Kokkari_Estiatorio-San_Francisco_California.html,Check The Website for a Menu,$$$$
15,Elmer's Restaurant - Palm Springs,"1030 E Palm Canyon Dr, Palm Springs, Greater Palm Springs, CA 92264-9169",CA,33.8017334,-116.5363323,American,4.5,"2,290",,+1 760-327-8419,https://www.tripadvisor.com//Restaurant_Review-g32847-d473460-Reviews-Elmer_s_Restaurant_Palm_Springs-Palm_Springs_Greater_Palm_Springs_California.html,https://eatatelmers.com/menu/,$$ - $$$
16,Hodad's,"5010 Newport Ave, San Diego, CA 92107-3010",CA,32.7472099,-117.2511462,American,4.5,"2,271",,+1 619-224-4623,https://www.tripadvisor.com//Restaurant_Review-g60750-d522135-Reviews-Hodad_s-San_Diego_California.html,Check The Website for a Menu,$
17,Hog Island Oyster Company,"The Ferry Building Marketplace, San Francisco, CA 94111",CA,37.7955703,-122.3933208,American,4.5,"2,246",,+1 415-391-7117,https://www.tripadvisor.com//Restaurant_Review-g60713-d353960-Reviews-Hog_Island_Oyster_Company-San_Francisco_California.html,Check The Website for a Menu,$$ - $$$
