,Name,Address,States,Latitude,Longitude,Type,Rating,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
1,Fiore Deli of Hoboken,"414 Adams St, Hoboken, NJ 07030-2693",NJ,40.743017,-74.0362361,Italian,5,158,"Special road trip just to eat here and they certainly lived up to all the hype. Mozzarella was none other than amazing. Guys behind the counter were fun, friendly and certainly made us feel welcome from our of town. Loved the food. Be sure to...More",+1 201-659-1655,https://www.tripadvisor.com//Restaurant_Review-g46515-d873710-Reviews-Fiore_Deli_of_Hoboken-Hoboken_New_Jersey.html,Check The Website for a Menu,$
2,Cordi's Italian Gourmet,"2140 Route 88 East, Brick, NJ 08724",NJ,40.0771248,-74.1007339,Italian,5,131,"Cute byob that doesn't know how to use a wine key or how to pour wine. Odd. Food is basic Italian but with a higher price point. If I am paying 42 for an entree then open my wine properly, use a crumber between courses....More",+1 732-892-6734,https://www.tripadvisor.com//Restaurant_Review-g46321-d12050861-Reviews-Cordi_s_Italian_Gourmet-Brick_New_Jersey.html,https://www.cordisitaliangourmet.com/cordis-italian-gourmet-menu,$$ - $$$
3,La Fiamma,"440 Harrison Ave, Harrison, NJ 07029-1781",NJ,40.7470212,-74.1542966,Italian,5,79,This place is not just an Italian Restaurant with red sauce this place has it going on. Everything is prepared with love. The salmon al Fiamma is GREAT! A beautiful mustard cream sauce no over powering hardly taste any mustard but just a wonderful flavor...More,+1 973-483-5455,https://www.tripadvisor.com//Restaurant_Review-g46494-d4915859-Reviews-La_Fiamma-Harrison_New_Jersey.html,Check The Website for a Menu,$$ - $$$
4,Aarzu Modern Indian Bistro,"30 E Main St, Freehold, NJ 07728-2202",NJ,40.2607138,-74.2726992,Indian,5,76,Visited this restaurant for my wife’s birthday dinner. The food was delicious and the service was exceptional. Great BYOB. We shared everything we ordered. Some of the best Indian cuisine in NJ.,+1 732-333-0933,https://www.tripadvisor.com//Restaurant_Review-g46453-d10671580-Reviews-Aarzu_Modern_Indian_Bistro-Freehold_New_Jersey.html,Check The Website for a Menu,$$ - $$$
5,Two Fish BYOB,"26 S. Haddon Ave., Haddonfield, NJ 08033-1860",NJ,39.8973879,-75.0309616,American,5,56,"Chef Michael continues to serve outstanding meals that are professionally served in a wonderful environment. He constantly impresses my wife and me with his combinations of spices, herbs and textures that enhance his beautifully presented seafood dishes. The octopus appetizer we had this past Friday...More",+1 856-428-3474,https://www.tripadvisor.com//Restaurant_Review-g46483-d11652382-Reviews-Two_Fish_BYOB-Haddonfield_New_Jersey.html,http://www.twofishbyob.com/menu,$$ - $$$
6,Kenko Sushi,"200 Main St, Lincoln Park, NJ 07035-3701",NJ,40.9229958,-74.3054275,Japanese,5,55,This is the absolute best place for sushi. You won't be sorry. Everything is delicious and they give you free dessert. It is amazing!,+1 973-633-5498,https://www.tripadvisor.com//Restaurant_Review-g46569-d7376541-Reviews-Kenko_Sushi-Lincoln_Park_Morris_County_New_Jersey.html,Check The Website for a Menu,$$ - $$$
7,Richard's Sub World and Deli,"US Route 9, Bayville, NJ 08721-1216",NJ,39.9098567,-74.154848,American,5,43,Have been going to Richards Sub World over 25 years. Love all his subs . You won’t be disappointed. My favorite is the tuna subs and the worlds best . I also enjoy all of the club subs.,+1 732-269-9871,https://www.tripadvisor.com//Restaurant_Review-g46291-d3225020-Reviews-Richard_s_Sub_World_and_Deli-Bayville_New_Jersey.html,http://richardssubworldanddeli.weebly.com/menu.html,$
8,Peck Peck Chicken,"250 Degraw Ave, Teaneck, NJ 07666-3206",NJ,40.8751442,-74.0210841,,5,36,This little hole in the wall has the best tasting chicken I have ever had in my life. My wife and I tried every flavor from the chicken wings and the entrées and it was just simply delicious. Bravo and we will be back soon.,+1 201-530-5858,https://www.tripadvisor.com//Restaurant_Review-g46862-d4946509-Reviews-Peck_Peck_Chicken-Teaneck_New_Jersey.html,Check The Website for a Menu,$
9,Baladina Mediterranean Restaurant,"931 Fischer Blvd, Toms River, NJ 08753-3834",NJ,39.9770259,-74.1375757,Mediterranean,5,27,"I was very pleased with the atmosphere, the food and the staff. Went with my family for dinner everything was perfect 
Great staff ( thank u Mesho ) amazing food 
I also booked a table for valentines days they have 2 couple for 60$ 😍",+1 848-224-4847,https://www.tripadvisor.com//Restaurant_Review-g46870-d15534142-Reviews-Baladina_Mediterranean_Restaurant-Toms_River_New_Jersey.html,http://Www.baladinarestaurant.com/menu,$$ - $$$
10,Gyro Grill,"783 Hamburg Turnpike, Wayne, NJ 07470-8416",NJ,40.955934,-74.2248367,Mediterranean,5,25,"Shlomo is the nicest Man!!! He is the owner and he always personally greets me and knows my order, Chicken kebab with spicy rise no salad. I just tried the hummus this past week, it is much better than the store bought stuff. The portions...More",+1 862-221-9242,https://www.tripadvisor.com//Restaurant_Review-g46905-d12613676-Reviews-Gyro_Grill-Wayne_New_Jersey.html,Check The Website for a Menu,$
