,Name,Address,States,Latitude,Longitude,Type,Rating,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
1,Swan Market,"231 Parsells Ave, Rochester, NY 14609-5203",NY,43.1655103,-77.5726212,German,5,300,"It's the best German meat market, restaurant, and beer garden on this side of the Atlantic. Need I say more?",+1 585-288-5320,https://www.tripadvisor.com//Restaurant_Review-g48503-d1895635-Reviews-Swan_Market-Rochester_Finger_Lakes_New_York.html,Check The Website for a Menu,$$ - $$$
2,Apizza Regionale,"260 W Genesee St, Syracuse, NY 13202-1020",NY,43.0520864,-76.1547105,Italian,5,223,Decided to try this place out because dinosaur Bar-B-Que was an hour wait. We were not disappointed. We walked right in our waitress was extremely friendly. I had the brussels sprout appetizer for my dinner and my husband had the short rib pasta and he...More,+1 315-802-2607,https://www.tripadvisor.com//Restaurant_Review-g48713-d10165915-Reviews-Apizza_Regionale-Syracuse_Finger_Lakes_New_York.html,https://www.apizzaregionale.com/menus,$$ - $$$
3,Louie & Ernie's Pizza,"1300 Crosby Ave, Bronx, NY 10461-6000",NY,40.838259,-73.8286389,Italian,5,184,My husband and I always stop in to pick up a slice or two when running our weekend errands. Love their pizza,+1 718-829-6230,https://www.tripadvisor.com//Restaurant_Review-g47369-d914281-Reviews-Louie_Ernie_s_Pizza-Bronx_New_York.html,Check The Website for a Menu,$
4,"Diana of Little Chef, Little Kitchen","Not Specified, New York City, NY",NY,40.7127753,-74.0059728,Dine With a Local Chef,5,105,This restaurant was recommended by our host in NY...and I'm glad we went...Diana is just fantastic and food was prepared with such care. Tasty and plenty. Will come back again when in NY.,Not Available,https://www.tripadvisor.com//Restaurant_Review-g60763-d11752088-Reviews-Diana_of_Little_Chef_Little_Kitchen-New_York_City_New_York.html,Check The Website for a Menu,$$ - $$$
5,Malcolm's,"617 Union St, Schenectady, NY 12305-1502",NY,42.8161083,-73.9363265,American,5,47,"Nice lunch, cozy space a bit chilly the day we sat in but great service and food.
Would definitely return to try something else.",+1 518-344-4599,https://www.tripadvisor.com//Restaurant_Review-g48572-d13807716-Reviews-Malcolm_s-Schenectady_New_York.html,http://malcolmsrestaurant.com#foodmenu,$$ - $$$
6,Nelsons Cafe,"2298 River Rd, Niagara Falls, NY 14304-3712",NY,43.066659,-78.9237413,American,5,41,"Small hometown restaurant wirh great food and service. Serving breakfast, lunch and Friday dinners. Everything is made from scratch. The Omelettes and pancakes are the best.Very clean and friendly.",+1 716-694-0444,https://www.tripadvisor.com//Restaurant_Review-g48261-d10083110-Reviews-Nelsons_Cafe-Niagara_Falls_New_York.html,Check The Website for a Menu,$
7,Margherita Pizza Incorporated,"16304 Jamaica Ave, Jamaica, NY 11432-4912",NY,40.7045847,-73.7967325,Pizza,5,37,"I stopped by at this neighborhood joint for 2 quick slices. Great pizza. Not quite NY style, but some may even prefer it.",+1 718-657-5780,https://www.tripadvisor.com//Restaurant_Review-g47962-d871107-Reviews-Margherita_Pizza_Incorporated-Jamaica_Queens_New_York.html,Check The Website for a Menu,$
8,Rock Burger,"328 Niagara St, Niagara Falls, NY 14303-1141",NY,43.088709,-79.0580836,American,5,37,By far the best burger I have ever had! Shopping trip to buffalo met with friends and they said let's introduce you to the best burger ever! They were not kidding. A must try for everyone! Have fun picking a bigger though it's hard they...More,+1 716-436-1102,https://www.tripadvisor.com//Restaurant_Review-g48261-d12670653-Reviews-Rock_Burger-Niagara_Falls_New_York.html,Check The Website for a Menu,$
9,Addictive Wine & Tapas Bar,"8701 Northern Blvd, Jackson Heights, NY 11372-1671",NY,40.7562612,-73.8806173,Spanish,5,25,"Excellent Service and good wine,food it's good. Thanks.👍I will recommend this place to friends And family's.",+1 347-832-0951,https://www.tripadvisor.com//Restaurant_Review-g47960-d11925618-Reviews-Addictive_Wine_Tapas_Bar-Jackson_Heights_Queens_New_York.html,http://www.addictivewinebar.com/tapas,$$ - $$$
10,A Touch of Naples Pizza & Pasta,"389 Violet Ave, Poughkeepsie, NY 12601-1054",NY,41.7387655,-73.9099342,Italian,5,22,This is a family operated gem. They make the best pizza in the entire region. You would probably have to go to White Plains or Albany to find pizza that could even come close. You are not doing yourself any favors if you get your...More,+1 845-473-5744,https://www.tripadvisor.com//Restaurant_Review-g48443-d4654515-Reviews-A_Touch_of_Naples_Pizza_Pasta-Poughkeepsie_New_York.html,Check The Website for a Menu,$
