,Name,Address,States,Latitude,Longitude,Type,Rating,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
1,rise n°3,"5135 Monahans Ave, Fort Worth, TX 76109-1577",TX,32.7101687,-97.3986824,French,5,231,"We enjoyed a low-key, relaxed evening. Interesting interior helped set a laid-back mood. A Champagne offering by the glass is something I appreciate and the Champagne flight was a nice surprise. The menu offers some interesting savory soufflé options. My smoked salmon was delicious but...More",+1 817-737-7473,https://www.tripadvisor.com//Restaurant_Review-g55857-d12936782-Reviews-Rise_n_3-Fort_Worth_Texas.html,https://risesouffle.com/menu,$$ - $$$
2,Main Street Deli,"520 Main St Unit A, Garland, TX 75040-6321",TX,32.9124743,-96.6371102,American,5,134,Food was very good and service was second to none. Very friendly owners who cater to the customers very well. I will be going back very soon.,+1 972-276-5959,https://www.tripadvisor.com//Restaurant_Review-g55884-d4046092-Reviews-Main_Street_Deli-Garland_Texas.html,http://www.garlanddeli.com/main-street-deli-menu,$
3,Breakers Korean Grill & Barbecue,"8320 State Highway 121, Frisco, TX 75034-8554",TX,33.0951754,-96.8129107,Barbecue,5,104,We loved our dinner here to celebrate a birthday. Our teenage kids loved the interactive nature and being able to cook their own meat.,+1 972-469-4800,https://www.tripadvisor.com//Restaurant_Review-g55870-d14030479-Reviews-Breakers_Korean_Grill_Barbecue-Frisco_Texas.html,http://FT-FRONT100EA.pdfFT-BACK100EA.pdf,$$ - $$$
4,Palenque Grill IH-35,"4615 San Bernardo Ave, Laredo, TX 78041-5719",TX,27.5431559,-99.5037846,Seafood,5,70,"The food is amazing, the service impeccable, such a great atmosphere. Ray was our server and let me tell you he went above and beyond to make it a great experience. Definitely recommend! The service was incredible, I was impressed on how fast they food...More",+1 956-701-3576,https://www.tripadvisor.com//Restaurant_Review-g56137-d10673691-Reviews-Palenque_Grill_IH_35-Laredo_Texas.html,https://palenquegrill.com/menu/,$$ - $$$
5,Jasper's Bar B Que,"105 Clifton St, Waco, TX 76704-2303",TX,31.573359,-97.1177825,Barbecue,5,45,"Jaspers is in a unique neighborhood and we hesitated a minute before we decided to be adventurous. We are so glad we stopped. The people were super friendly and the food was delicious and plentiful. We split a three meat plate with brisket, sausage, and...More",+1 254-732-0899,https://www.tripadvisor.com//Restaurant_Review-g56833-d3368920-Reviews-Jasper_s_Bar_B_Que-Waco_Texas.html,http://www.jaspersbarbecue.com/menu.html,$$ - $$$
6,SwitcHouse Plates & Pours,"1200 Lake Plaza Dr, Spring, TX 77389-1862",TX,30.0983768,-95.4406421,Bar,5,45,"Daniel and Amy were friendly, knowledgeable, and fantastic bartenders. Definitely recommend a visit to this hotel and bar.",+1 281-350-4000,https://www.tripadvisor.com//Restaurant_Review-g56701-d15638963-Reviews-SwitcHouse_Plates_Pours-Spring_Texas.html,Check The Website for a Menu,$$ - $$$
7,5.Ate Cafe,"403 E Louetta Rd, Spring, TX 77373-3248",TX,30.0697047,-95.4290185,Pizza,5,42,Great handburgers with home made bun. Loved it. Duaghter took me for Fathers Day. Ranked one of the best burers in state and it did not disappoint. Get to watch rock climbers while you eat a burger and fries!!!,+1 281-516-5283,https://www.tripadvisor.com//Restaurant_Review-g56701-d7206752-Reviews-5_Ate_Cafe-Spring_Texas.html,https://www.5atecafe.com/menu,$
8,La Cocina De Roberto,"3126 Sawdust Rd, Spring, TX 77380-2602",TX,30.1330711,-95.4879747,Mexican,5,41,"Had a craving for some good Nachos and found this cafe in a small strip mall with a gas station.
It didn’t disappoint, the flavors were great, portion enough for two, and the owner very graciously performing the duties of the host.
It was Saturday...More",+1 832-299-6706,https://www.tripadvisor.com//Restaurant_Review-g56701-d12242547-Reviews-La_Cocina_De_Roberto-Spring_Texas.html,http://lacocinaderoberto.net/menu/,$
9,Tabernilla,"7124 Bob Bullock Loop, Laredo, TX 78041-2080",TX,27.5603522,-99.4450005,Spanish,5,39,"Unique tapas menu - NOT a Mexican restaurant! My waiter made excellent recommendations and of course, the small portions or “tapas”, made it ideal to try several. 

Everything I ordered was de-lish!

Classy, relaxing ambiance.",+1 956-523-0989,https://www.tripadvisor.com//Restaurant_Review-g56137-d9996191-Reviews-Tabernilla-Laredo_Texas.html,http://www.tabernillalaredo.com#menu,$$ - $$$
10,Frisco Diner,"9250 Dallas Pkwy, Frisco, TX 75033-4262",TX,33.1545347,-96.8394603,Diner,5,23,Great food. Like an old town diner but in a brand new storefront. I had a great omelette and she had a delicious waffle.,+1 214-618-0652,https://www.tripadvisor.com//Restaurant_Review-g55870-d12788029-Reviews-Frisco_Diner-Frisco_Texas.html,Check The Website for a Menu,$$ - $$$
