Name,Street Address,Location,Address,Latitude,Longitude,Type 1,Type 2,Type 3,Reviews,Out of 5,No of Reviews,Number of Reviews,Comments,Contact Number,Trip_advisor Url,Menu,Price_Range
Creperie de la Mer,126 N Bay Ave,"Beach Haven, Long Beach Island, NJ 08008-1816","126 N Bay Ave, Beach Haven, Long Beach Island, NJ 08008-1816",39.5645594,-74.2397357,Cafe,French,Vegetarian Friendly,5 of 5 bubbles,5,24 reviews,24,"My wife and I usually visit LBI every summer and we never pass up the chance to eat at this magnificent cafe. Thw crepes are delicious. Whether you get sweet or savory, they never disappoint. The family that runs it is always friendly and warm....More",+1 609-709-7444,https://www.tripadvisor.com//Restaurant_Review-g46292-d12705586-Reviews-Creperie_de_la_Mer-Beach_Haven_Long_Beach_Island_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Orchard Kitchen,5574 Bayview Rd,"Langley, Whidbey Island, WA 98260-9761","5574 Bayview Rd, Langley, Whidbey Island, WA 98260-9761",48.0088333,-122.4618949,American,Vegetarian Friendly,,5 of 5 bubbles,5,119 reviews,119,"Best dinner we have had in a long time. We had a great time. Food was top notch. We had the wine pairing, which was spot-on and generous. We had a lovely time chatting with our table mates, and the 3 hours passed quickly. It...More",+1 360-321-1517,https://www.tripadvisor.com//Restaurant_Review-g58557-d8464188-Reviews-Orchard_Kitchen-Langley_Whidbey_Island_Washington.html,Check The Website for a Menu,$$$$
Very Juice,422 Avenue P,"Brooklyn, NY 11223-1935","422 Avenue P, Brooklyn, NY 11223-1935",40.6087917,-73.9717637,,,,5 of 5 bubbles,5,1 review,1,"I travel a lot but couldn’t find better Peanut Butter açaí anywhere else. Must have items: Creamy Green Smoothie, Cashew Cheese or Pesto Panini. I mean food is always great here. This review comes from real paying customer.",+1 718-676-9400,https://www.tripadvisor.com//Restaurant_Review-g60827-d15175217-Reviews-Very_Juice-Brooklyn_New_York.html,Check The Website for a Menu,Not Specified
Henry's Ocean View Dining,21100 Pacific Coast Highway,"Huntington Beach, CA 92648","21100 Pacific Coast Highway, Huntington Beach, CA 92648",33.6512938,-117.9938823,Steakhouse,Seafood,,5 of 5 bubbles,5,7 reviews,7,,+1 714-845-8450,https://www.tripadvisor.com//Restaurant_Review-g32513-d17692094-Reviews-Henry_s_Ocean_View_Dining-Huntington_Beach_California.html,Check The Website for a Menu,$$ - $$$
Bean's & Lager,3301 36th Ave,"Long Island City, NY 11106-1941","3301 36th Ave, Long Island City, NY 11106-1941",40.7558518,-73.9278648,American,Steakhouse,Bar,5 of 5 bubbles,5,12 reviews,12,Nothing Special. Visiting from out of town and did a review search for local restaurants. Burgers were good but service was lousy. Made an open table reservation during non busy times and expected much better service. Non attentive servers who couldn’t even remember who ordered...More,+1 718-392-5777,https://www.tripadvisor.com//Restaurant_Review-g48080-d13353616-Reviews-Bean_s_Lager-Long_Island_City_Queens_New_York.html,Check The Website for a Menu,$$ - $$$
Spark Pizza,8110 164th Ave NE,"Redmond, WA 98052-3816","8110 164th Ave NE, Redmond, WA 98052-3816",47.6756879,-122.1213025,Pizza,Italian,,5 of 5 bubbles,5,12 reviews,12,"Being from the East coast, and close to some of the best pizza on the planet, it's often hard to find good pizza on the road. Spark has made that possible. Some of the best pizza I have ever had and their gluten free crust...More",+1 425-898-4021,https://www.tripadvisor.com//Restaurant_Review-g58702-d17390958-Reviews-Spark_Pizza-Redmond_Washington.html,Check The Website for a Menu,$$ - $$$
Aurora Ristorante,429 Piaget Ave,"Clifton, NJ 07011-3000","429 Piaget Ave, Clifton, NJ 07011-3000",40.878749,-74.15343,Italian,,,5 of 5 bubbles,5,13 reviews,13,"So glad a friend told us about Aurora, Clifton's best gem! Very extensive menu for such a small restaurant. It's BYOB, which is great! Domenico, Lorenzo and Cristina are all excellent servers. The Veal Osso Bucco, the octupus, pasta, etc. are all delicious, as well...More",+1 973-772-2914,https://www.tripadvisor.com//Restaurant_Review-g46365-d14799668-Reviews-Aurora_Ristorante-Clifton_New_Jersey.html,Check The Website for a Menu,$$ - $$$
Fatamorgana Gelato - Ice cream,12021 Ventura Blvd,"Los Angeles, CA 91604-2609","12021 Ventura Blvd, Los Angeles, CA 91604-2609",34.1439272,-118.3941887,Dessert,Italian,,5 of 5 bubbles,5,13 reviews,13,,+1 818-606-0273,https://www.tripadvisor.com//Restaurant_Review-g32655-d12980016-Reviews-Fatamorgana_Gelato_Ice_cream-Los_Angeles_California.html,Check The Website for a Menu,$$ - $$$
Yen Du Restaurant,702 Porter Ave,"Stockton, CA 95207-4297","702 Porter Ave, Stockton, CA 95207-4297",38.0058864,-121.319651,Chinese,Asian,,5 of 5 bubbles,5,15 reviews,15,,+1 209-951-3748,https://www.tripadvisor.com//Restaurant_Review-g33130-d4652924-Reviews-Yen_Du_Restaurant-Stockton_California.html,http://www.yendurestaurant.com/menu,$$ - $$$
Zaytouna Mediterranean Grill,13 Village Ln,"Freehold, NJ 07728-1541","13 Village Ln, Freehold, NJ 07728-1541",40.2758971,-74.2329942,Mediterranean,Middle Eastern,Fast Food,5 of 5 bubbles,5,15 reviews,15,"The food was really good. If you are looking for a healthy meal just go there. The place is clean and the team are so friendly! 
Highly recommended!",+1 732-490-7755,https://www.tripadvisor.com//Restaurant_Review-g46453-d11725721-Reviews-Zaytouna_Mediterranean_Grill-Freehold_New_Jersey.html,https://www.zaytounagrill.com/cateringmenu,$
King's Blu Jam Cafe,4711 Louetta Rd,"Spring, TX 77388-4351","4711 Louetta Rd, Spring, TX 77388-4351",30.0413382,-95.4858508,Cafe,Cajun & Creole,,5 of 5 bubbles,5,16 reviews,16,Had a family member tell about this place. They were impressed and so were we. Almost didn't get in because of limited hours. (Tues-Fri 7am-2:30 and Sat-Sun 7am-3:00 pm.) Not a large place. 10 or so tables and about 7 booths. Bar sits about 6....More,+1 713-389-5555,https://www.tripadvisor.com//Restaurant_Review-g56701-d15125070-Reviews-King_s_Blu_Jam_Cafe-Spring_Texas.html,https://img1.wsimg.com/blobby/go/7d01b5de-2694-4b3f-a9f3-325d6b112d31/downloads/1cvmr3b83_311130.jpg,$$ - $$$
Maza Grill,21000 108th Ave SE,"Kent, WA 98031-2199","21000 108th Ave SE, Kent, WA 98031-2199",47.414137,-122.195638,Middle Eastern,Pakistani,Steakhouse,5 of 5 bubbles,5,17 reviews,17,"I went to Maza with a friend and we were both so impressed with the food and the service. This is not a fancy place but it is very comfortable and the food was amazing, we had the Tika Masala and the Lebanese chicken, both...More",+1 253-277-2566,https://www.tripadvisor.com//Restaurant_Review-g58537-d4523308-Reviews-Maza_Grill-Kent_Washington.html,http://mazagrill.co/menu/,$$ - $$$
